,long,lat,comid,station
299,-77.32414028,41.273683,8145248,USGS-01549700
300,-77.0330238,41.41813179,8152817,USGS-01550000
301,-76.996634,41.23618985,8152467,USGS-01551500
302,-76.91246379,41.32507836,8152257,USGS-01552000
303,-76.5346708,41.35702418,8151091,USGS-01552500
304,-76.8763543,40.96758498,8153799,USGS-01553500
305,-76.68023479,41.0617522,8152057,USGS-01553700
306,-76.8266349,40.8345293,932050014,USGS-01554000
307,-77.0483088,40.86674917,4520418,USGS-01555000
308,-76.9119198,40.61119589,4518306,USGS-01555500
309,-77.5830499,40.65479256,4697437,USGS-01565000
310,-77.41915568,40.5153564,4697481,USGS-01566000
311,-77.1291484,40.47841677,4699925,USGS-01567000
312,-77.402209,40.37091615,4710396,USGS-01567500
313,-77.1688703,40.32341928,4710668,USGS-01568000
314,-77.0211111,40.2522222,4712048,USGS-01570000
315,-76.8860846,40.25481164,4710000,USGS-01570500
316,-77.3085949,40.0309245,4711768,USGS-01571184
317,-76.8980293,40.22481237,4709484,USGS-01571500
318,-76.4021793,40.53258999,4707802,USGS-01572025
319,-76.530797,40.4792558,4708462,USGS-01572190
320,-76.57718829,40.4025897,4708726,USGS-01573000
321,-76.6677469,40.29842358,4709260,USGS-01573560
322,-76.99,39.9412222,4724617,USGS-01573825
323,-77.1546111,39.9802222,4727061,USGS-01573849
324,-76.7180813,40.0809008,4722109,USGS-01574000
325,-76.8533073,39.8787104,4726129,USGS-01574500
326,-76.5307992,40.0545413,4722217,USGS-01576000
327,-76.2771798,40.05009748,4722137,USGS-01576500
328,-76.26403889,39.9959361,4724385,USGS-015765195
329,-76.3677388,39.9464886,4724553,USGS-01576754
330,-76.32829298,39.90593409,4724801,USGS-01576787
331,-76.1744444,39.65788889,4726595,USGS-01578310
332,-76.1152286,39.7067746,4726273,USGS-01578475
333,-76.4033056,39.6299722,4726301,USGS-01580000
334,-76.1918611,39.61744444,4726307,USGS-01580520
335,-76.14227778,39.52263889,11687476,USGS-01580700
336,-76.3301111,39.5414722,11687752,USGS-01581500
337,-76.2591111,39.49219444,11688478,USGS-01581649
338,-76.3729722,39.51994444,11687474,USGS-01581700
339,-76.3474444,39.49627778,11688352,USGS-01581752
340,-76.3404444,39.48144444,11688422,USGS-0158175320
341,-76.30602778,39.43927778,11688674,USGS-01581757
342,-76.7814722,39.68980556,11687020,USGS-01581810
343,-76.7809167,39.65480556,11687078,USGS-01581830
344,-76.7726111,39.62569444,11687118,USGS-01581870
345,-76.6903611,39.61905556,11687160,USGS-01581920
346,-76.6749722,39.673,11687048,USGS-01581960
347,-76.6204722,39.6040833,11687636,USGS-01582000
348,-76.6361111,39.54969444,11687360,USGS-01582500
349,-76.76688889,39.5206111,11687478,USGS-01583100
350,-76.6765,39.51077778,11687656,USGS-01583500
351,-76.6875,39.48030556,11688418,USGS-01583570
352,-76.67802778,39.4794722,11688418,USGS-01583580
353,-76.6457222,39.4855833,11688368,USGS-01583600
354,-76.55725,39.4096111,11688838,USGS-0158397967
355,-76.47888889,39.45469444,11688586,USGS-01584050
356,-76.43177778,39.5053611,11687662,USGS-01584500
357,-76.4958056,39.3795833,11689682,USGS-01585090
358,-76.4460556,39.37077778,11689686,USGS-01585100
359,-76.4329722,39.383,11688932,USGS-01585104
360,-76.5843333,39.37363889,11689694,USGS-01585200
361,-76.53488889,39.3300833,11689172,USGS-01585230
362,-76.96825,39.59269444,11687638,USGS-01585500
363,-76.88438889,39.503,11687548,USGS-01586000
364,-76.9029444,39.48944444,11688350,USGS-01586210
365,-76.9553056,39.45188889,11688538,USGS-01586610
366,-76.6920556,39.24027778,11689740,USGS-01589100
367,-76.7834167,39.44294444,11688596,USGS-01589197
368,-76.76175,39.3615833,11689692,USGS-01589290
369,-76.7331944,39.34588889,11689106,USGS-01589300
370,-76.7440833,39.29588889,11689198,USGS-01589312
371,-76.7321111,39.31325,11689198,USGS-01589315
372,-76.7506944,39.31891667,11689716,USGS-01589316
373,-76.74513889,39.327,11689712,USGS-01589317
374,-76.73577778,39.31805556,11689144,USGS-01589320
375,-76.71663889,39.3112222,11689186,USGS-01589330
376,-76.6485556,39.2715,11689212,USGS-01589352
377,-76.66288889,39.39575,11688890,USGS-01589440
378,-76.6306111,39.17,11689424,USGS-01589500
379,-76.65152778,39.06825,8375931,USGS-01589795
380,-77.0557222,39.23825,11907296,USGS-01591000
381,-77.0510556,39.2559722,11907272,USGS-01591400
382,-77.00438889,39.19219444,11907330,USGS-01591610
383,-77.0214167,39.17452778,11907336,USGS-01591700
384,-76.87375,39.1157222,11905746,USGS-01592500
385,-76.85125,39.16775,11905718,USGS-01593500
386,-76.8161667,39.13441667,11905730,USGS-01594000
387,-76.6936944,38.95591667,11907758,USGS-01594440
388,-76.7487222,38.8142222,11908364,USGS-01594526
389,-77.7772222,39.51455556,5891846,USGS-01617800
390,-77.60663889,39.71625,5891210,USGS-01619000
391,-77.7301944,39.44977778,5894726,USGS-01619500
392,-77.7891606,39.28204576,8445070,USGS-01636500
393,-77.7185,39.3108333,4505510,USGS-01636690
394,-77.5561667,39.42725,4505256,USGS-01637500
395,-77.6154444,39.1911111,4505894,USGS-01638350
396,-77.5763778,39.25510206,4505612,USGS-01638480
397,-77.5431111,39.2735833,4507348,USGS-01638500
398,-77.23452778,39.67905556,8448416,USGS-01639000
399,-77.2374444,39.6123611,8449082,USGS-01639500
400,-77.38227778,39.4435833,8450100,USGS-01642190
401,-77.3660833,39.4028333,8450266,USGS-01643000
402,-77.3036667,39.27530556,8450912,USGS-01643395
403,-77.4070833,39.29413889,8450600,USGS-01643500
404,-77.5359167,39.1676111,4506028,USGS-01643590
405,-77.7966614,38.98649818,4508450,USGS-01643700
406,-77.6839444,39.07230556,4506604,USGS-01643805
407,-77.5774918,39.01955309,4507266,USGS-01644000
408,-77.43238889,39.04641667,4506736,USGS-01644280
409,-77.2556944,39.2314722,4505702,USGS-01644371
410,-77.2493611,39.2227222,4507200,USGS-01644372
411,-77.2753611,39.19938889,4507210,USGS-01644375
412,-77.2885833,39.2066111,4505912,USGS-01644380
413,-77.33577778,39.1280833,4506374,USGS-01645000
414,-77.3324293,38.88469518,4509120,USGS-01645704
415,-77.3382627,38.90888916,4509040,USGS-01645762
416,-77.24581439,38.97594346,4509202,USGS-01646000
417,-77.1756743,38.95977716,4508904,USGS-01646305
418,-77.12763889,38.94977778,4512772,USGS-01646500
419,-77.08175,39.0684722,22337429,USGS-01647850
420,-77.04,38.9725,22338431,USGS-01648000
421,-76.9895833,39.08838889,22336303,USGS-01649150
422,-76.96402778,39.0333611,22336379,USGS-01649190
423,-76.9259722,38.96025,22337975,USGS-01649500
424,-77.0293611,39.06552778,22337513,USGS-01650500
425,-77.0048611,38.9862222,22338427,USGS-01650800
426,-76.96513889,38.95255556,22337977,USGS-01651000
427,-76.94327778,38.90127778,22337781,USGS-01651800
428,-77.0858611,38.8433333,22340313,USGS-01652500
429,-77.10558989,38.8044466,22340339,USGS-01653000
430,-77.2283158,38.81289066,22340331,USGS-01654000
431,-77.6249897,38.63678689,22339947,USGS-01656000
432,-77.4319047,38.8823899,22338645,USGS-01656903
433,-77.4285958,38.5873427,4529107,USGS-01658500
434,-77.4335942,38.49040138,4533657,USGS-01660400
435,-76.5036667,38.24175,4531853,USGS-01661500
436,-77.52915268,38.30846178,8476948,USGS-01668000
437,-76.900521,37.8770819,8479268,USGS-01669000
438,-77.7011007,38.01291599,8501768,USGS-01670400
439,-77.42775949,37.85014024,8505740,USGS-01671020
440,-77.5130392,37.8726401,8507516,USGS-01671100
441,-77.5488744,37.796809,8507536,USGS-01672500
442,-77.3322018,37.76764189,8506380,USGS-01673000
443,-77.2577548,37.6626434,8506844,USGS-01673550
444,-77.5947095,38.1715215,8489364,USGS-01673800
445,-77.3858142,38.061801,8489912,USGS-01674000
446,-77.16527778,37.88388889,8494082,USGS-01674500
447,-77.5469314,37.5632022,8574021,USGS-02037500
448,-77.7420833,43.2538611,15558653,USGS-0422026250
